,p,d,q,MAPE,MAE,RMSE
142,4,2,2,3.2903816971877846e+29,3.444335635964821e+28,1.280706282375958e+29
143,4,2,3,653.4233886724551,61.32015738888893,100.88889407969792
144,4,2,4,10.852228619207791,1.0549965352911324,1.2502564557869686
145,4,2,5,9.522535977739922,0.9363065920126545,1.1073180685113018
146,4,2,6,16.204340604428236,1.6638313726682323,2.375975973111302
147,4,2,7,703.5448720349381,75.19491433535443,80.9617199738173
148,4,2,8,15.866809503666211,1.5365222008190458,2.2211512791030175
149,4,2,9,12.098898961349517,1.2138607698954258,1.4022368740757016
150,5,0,0,9.63587989211524,0.9368287204744843,1.0864033533388533
151,5,0,1,10.167338755492985,0.9963563781733401,1.151153081560036
152,5,0,2,10.36092315833162,1.014825742534544,1.1699696802577744
153,5,0,3,10.217571237757634,0.990880248334077,1.147678463339975
154,5,0,4,11.684352575797883,1.1662393455902078,1.329528359102517
155,5,0,5,10.209918784127685,1.0034549093182341,1.1594379218784836
156,5,0,6,10.698308004818756,1.0615186677664223,1.231470473217659
157,5,0,7,12.049008222424378,1.230849554166426,1.509086988120859
158,5,0,8,14.661984394258647,1.4470769462445885,2.0952473425112026
159,5,0,9,19.56201615798552,1.9321431338008344,2.7661158861230266
160,5,1,0,9.957233272053754,0.971031026499862,1.1219734430338955
161,5,1,1,9.771802790846637,0.9546454008350685,1.1056596216452732
162,5,1,2,9.343783919231415,0.9078229979670606,1.0631062109418947
163,5,1,3,9.32754462400506,0.9062336100127665,1.0596615139356051
164,5,1,4,10.758195336924166,1.0599512198305185,1.2325778032593033
165,5,1,5,10.0500262636247,0.9814543951912565,1.1343805013857016
166,5,1,6,10.824467371234746,1.0559425246436642,1.2149080603134412
167,5,1,7,10.137199808642357,0.9762233817173961,1.1484606399847483
168,5,1,8,8.95603599934614,0.8766933211743485,1.0458264960515973
169,5,1,9,10.196295385353052,0.99317450858531,1.152134206766409
170,5,2,0,8.713594192550227,0.83351537787189,0.9512656943786748
171,5,2,1,9.863373564970368,0.9764884800305791,1.157671058657071
172,5,2,2,7.71186934583881,0.7199228843654789,0.8584438683810589
173,5,2,3,17.51674124669673,1.6759326841524473,1.959191284610123
174,5,2,4,9.327980771475122,0.9174195291787582,1.0969850285646279
175,5,2,5,8.754026390969885,0.8668999298414954,1.0289051630643506
176,5,2,6,11.790603791141555,1.1897058110797716,1.5041188218030228
177,5,2,7,10.432065891808383,1.0178307207240815,1.2037688229182921
178,5,2,8,13.050225859649471,1.2751051254135062,1.4764131566042054
179,5,2,9,21.173574934624444,2.1639243562598125,3.3523793520898164
180,6,0,0,9.37255959442799,0.9080866095364328,1.0599103995635204
181,6,0,1,9.775496345854398,0.9507301834997759,1.0999900390339055
182,6,0,2,9.834760562961959,0.9652354536119242,1.1083556516856778
183,6,0,3,10.168456458700126,0.9954748272897028,1.1614099924533885
184,6,0,4,9.825167801788963,0.987230411574632,1.1279272490724777
185,6,0,5,12.69594174812488,1.2772858190819034,1.4667723617174209
186,6,0,6,12.448301029480406,1.2454156791988455,1.4327130112913347
187,6,0,7,12.326111960546532,1.2446286033887264,1.537437112322453
188,6,0,8,10.232881901929892,1.007311993770502,1.1707235902201092
189,6,0,9,12.283443530796651,1.2259599406614863,1.4297192896171478
190,6,1,0,9.717648648117285,0.9492299224065756,1.1004474955561727
191,6,1,1,9.716283598031398,0.9487290578272692,1.100060415509952
192,6,1,2,10.341865264168884,1.0161419680681496,1.1657984642773085
193,6,1,3,8.512440234483416,0.8174167753656546,0.9563071349258409
194,6,1,4,10.995755884577159,1.0870521617046087,1.2568761370076023
195,6,1,5,10.364959621271742,1.0164082229955849,1.170018112007533
196,6,1,6,11.528139646054093,1.1406251409073425,1.3101695726281708
197,6,1,7,8.596380931319834,0.8250319387222271,0.9789744746318331
198,6,1,8,9.207790804595744,0.8992864660915351,1.0555053149450255
199,6,1,9,1.164152955897946e+28,1.2148178381594717e+27,3.560520354070141e+27
200,6,2,0,9.562768549269416,0.9172826692979447,1.049012920950431
201,6,2,1,10.229546062634837,1.0176668186340312,1.2005790884841632
202,6,2,2,10.523896974769952,1.0443504983703749,1.2261424329401605
203,6,2,3,12.127984611584493,1.2294145110362484,1.3919454472686603
204,6,2,4,9.677811206201861,0.9551532301995497,1.1406689421607805
205,6,2,5,9.375188889126848,0.9322506738943086,1.1091682704702877
