,p,d,q,MAPE,MAE,RMSE
119,3,2,9,33.616479495210456,2.143836012544697,2.995355791769146
120,4,0,0,16.413198038278132,1.0408119082681984,1.3942058155119326
121,4,0,1,40.161952265498265,2.5522435154348466,3.7069910380350857
122,4,0,2,37.25663462751592,2.3681667997456537,3.4319083776468546
123,4,0,3,51.819843918207575,3.300298439010568,4.883521849103414
124,4,0,4,30.921048897698267,1.9656148259247324,2.7667960661013256
125,4,0,5,7.5711091761635005,0.47738366756552625,0.5990280247796653
126,4,0,6,29.86962895990497,1.8870824549281366,2.6654035291596365
127,4,0,7,4.160850019617969,0.2707924848487582,0.31645615228945645
128,4,0,8,55.226144950682226,3.5326435708509876,5.26270800631656
129,4,0,9,41.81905548764882,2.674742123236246,3.9070952670729446
130,4,1,0,5.647179757610057,0.3586645218521922,0.4366646250433018
131,4,1,1,6.111075215854764,0.38607840412738514,0.4689076434180981
132,4,1,2,6.687698610950638,0.41097532545322224,0.5261599414502122
133,4,1,3,5.490759431338418,0.35092845428508285,0.4457950186886871
134,4,1,4,10.169129859172047,0.6457650310287911,0.825010726582472
135,4,1,5,1038.758401528269,65.80958741481558,89.4415405992521
136,4,1,6,10.290621870490622,0.6461227144732862,0.8234913261229082
137,4,1,7,29.6447149628021,1.8835264152488829,2.664874189404025
138,4,1,8,20822.547056380958,1497.5415970296217,1923.615487455531
139,4,1,9,19.79921743277054,1.252263998022643,1.677662333995831
140,4,2,0,6.577850823011554,0.4200065425581796,0.5078400013548289
141,4,2,1,7.26181525818446,0.468882367850357,0.5785627063639909
142,4,2,2,2.8864612812389226e+22,1.9950949154196643e+21,5.973606702115067e+21
143,4,2,3,6.911662867252926,0.4448127852766831,0.5593989760880468
144,4,2,4,9.600014931828907,0.5774129157030531,0.6976618194771361
145,4,2,5,14.859032694158078,0.9034850384540081,1.1386693322381087
146,4,2,6,120605511.13283865,8791844.487721745,15890580.330905918
147,4,2,7,47.5577267121543,3.335133747685621,3.9124011483747383
148,4,2,8,23.933787094475683,1.5228172987710593,2.0469535098018157
149,4,2,9,35.21520710137894,2.2455390255353542,3.181316187306616
150,5,0,0,23.03133001116529,1.4469062894269047,1.9975878370985023
151,5,0,1,35.12673737031754,2.2073024973975324,3.172307614843048
152,5,0,2,30.79180218249519,1.7451733185390723,2.625057538281582
153,5,0,3,28.405995859054485,1.7927419157322213,2.526401989203477
154,5,0,4,38.98036439402058,2.474631535626354,3.567262647784747
155,5,0,5,32.31451327153046,2.0559067224988103,2.8951975363296247
156,5,0,6,37.03929198915281,2.3419632206673695,3.3780580314632673
157,5,0,7,8.210092385950524,0.5207066856908066,0.6404999686359973
158,5,0,8,72.61792030150494,4.648487881884862,7.038051739075916
159,5,0,9,45.019249522323875,2.8856196852884812,4.134441310931326
160,5,1,0,7.8821671824362936,0.48947392392528055,0.6067325508694439
161,5,1,1,8.28282147013374,0.5105793737134429,0.6435291828935161
162,5,1,2,75.0750825417879,4.0500095579401165,7.044802977313675
163,5,1,3,12.765387369525339,0.8037860762699974,1.03516477016125
164,5,1,4,20.351460776483925,1.2952868124966161,1.7642810003206733
165,5,1,5,33.863282104660826,2.1496727011919816,3.0769872014810904
166,5,1,6,24.61072624309004,1.5854093108010845,2.1811697616570926
167,5,1,7,28.324234728402683,1.7982047902971092,2.5324558214681954
168,5,1,8,36.77829698604809,2.355260869044625,3.3327143089010685
169,5,1,9,53.949641317076996,3.44054901703963,5.076362058538361
170,5,2,0,1759.6200970837745,95.82780839196381,222.44649553578938
171,5,2,1,853.141451774919,44.56761917521219,69.4534086468548
