,p,d,q,MAPE,MAE,RMSE,BIC,AIC
199,6,1,9,37.32268198169239,3.5982342885323213,5.142305704494888,17.31841808761658,10.309949303680852
200,6,2,0,7.794827146094027,0.7294290799623641,0.8603888374519666,7.091060314631884,1.259846351877529
201,6,2,1,8.670725450906005,0.828423597,1.001132412368576,17.769235845056038,11.104991316193917
202,6,2,2,11.885425023077952,1.1275207460976355,1.3877952378834768,10.889878744209245,3.3926036492393576
203,6,2,3,19.187291698773844,1.855499218,2.3952226749659706,19.847009420781177,11.516703759703526
204,6,2,4,25.533972512493868,2.441824890498362,3.247610500686155,23296565.079687573,23296555.91635134
205,6,2,5,12.85564598665766,1.2264858315435607,1.5288259350033049,12.99322768704783,2.996860893754649
206,6,2,6,56.28638987920457,5.899424209344466,6.664819432895966,238353911.61100736,238353902.0097263
207,6,2,7,32.10137870775223,3.0968705926125137,4.306440894828033,20.469591320533603,11.812952513983134
208,6,2,8,23.057782535578045,2.222069904746287,3.0137563212585334,22.513843335298297,15.943403850358555
209,6,2,9,534054.8577329564,58833.93462301735,75543.33844,#NAME?,1085823825.084866
210,7,0,0,38.13686031839735,3.5763150797974865,5.117080993687468,-6.402789182,-14.61672455
211,7,0,1,59.032396489641805,5.5911012703835405,8.331868919,3.617923155166774,-5.5086717
212,7,0,2,67.30948759335368,6.3993362200520405,9.590007080879058,7.201998286881201,-2.837256054
213,7,0,3,6.746622795880505,0.6427221415332999,0.7975095584764392,18.278408639907717,7.326494813949617
214,7,0,4,48.300625089739604,4.632471517113244,6.852978406283034,17.39252317398251,5.527949863
215,7,0,5,41.26441806,3.9802872385477515,5.729320314267344,20.97294453034885,8.195711733
216,7,0,6,49.78565738762044,4.812975128950878,6.991934549730333,22.203545174074737,8.513652891627109
217,7,0,7,36.73148662526343,3.5138791735063277,5.002326743318007,16.93173348,3.6032444220627573
218,7,0,8,80.91781097152219,7.4152545496907125,11.080572978376503,18.585188748410605,6.029667374908068
219,7,0,9,61.21474237808925,5.939915085693333,8.765139405467723,21.00280173195489,9.872837552104292
220,7,1,0,8.238029868822768,0.7899381370627317,0.9735233329132479,-0.002036272,-6.666280801
221,7,1,1,5.8770496048455225,0.565662595,0.6793158640013967,6.395279641877446,-1.101995453
222,7,1,2,5.9145625767570795,0.575377993,0.6817800964870779,6.046317888947914,-2.283987772
223,7,1,3,8.78746055,0.8615157259007116,1.0505087353513223,10.160137436158612,0.9968012089731939
224,7,1,4,34.50937892891257,3.339153428626342,4.672258757701837,563208759,563208749.0422262
225,7,1,5,23.280784723343167,2.249328797526192,3.0791932621198432,13.758745894605592,2.929348535204646
226,7,1,6,18.371436107753652,1.770106448,2.3510891112243835,14.420943124207833,2.758515198699117
227,7,1,7,39.86729630939236,3.8393583664408233,5.569759398922689,15.527825346908312,4.449424134994308
228,7,1,8,36.104135143141114,3.4782563730164116,4.979147297245136,19.890071028239156,9.996769535038627
229,7,1,9,27.09634674343087,2.601492761394075,3.625927387,25.979138947365232,18.532640864433525
230,7,2,0,8.704299684290465,0.8503301295060256,1.046471954573325,2.3616204350907486,-3.546860211
231,7,2,1,10.564611532294155,1.0397921548833984,1.266171051762689,379.74609490557236,373.0990542
232,7,2,2,9.996512149975704,0.9737170174599239,1.2165882765270237,6.0471162303167985,-1.338484578
233,7,2,3,9.626706789407368,0.948112442,1.1615671551151003,12.316739574063632,4.192578685326694
234,7,2,4,1091.0843743557891,104.2318969889784,127.19674714555174,334473178.73576903,334473169.9
235,7,2,5,9.578400381581117,0.9366068018950374,1.1821591123533095,11.239224284226953,1.6379432339014801
236,7,2,6,12.267929669652009,1.1935541376047623,1.4934399650466266,15.526827657434463,5.186986526314724
237,7,2,7,8.312869639285655,0.8098891534859811,0.9769791495648914,22.65298676255098,13.37801661267548
238,7,2,8,24.659366624654503,2.381609007271518,3.2310114412712445,22.28355947201741,15.27509068808168
239,7,2,9,146398.80743771908,16125.537302791385,20869.4877,#NAME?,103275276.80617061
240,8,0,0,50.27835493640207,4.867022356533672,7.171947311917281,-3.329635095,-11.65994076
